DATE,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,VEHICLE TYPE CODE 1
6/21/2019,,,40.76229,-73.75711,"(40.76229, -73.75711)",NORTHERN BOULEVARD              ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Bus
6/21/2019,,,40.820305,-73.89083,"(40.820305, -73.89083)",BRUCKNER BOULEVARD              ,,,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
6/21/2019,BROOKLYN,11233,40.678574,-73.916306,"(40.678574, -73.916306)",SARATOGA AVENUE                 ,FULTON STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Sedan
6/21/2019,,,40.75457,-73.97169,"(40.75457, -73.97169)",EAST 48 STREET                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
6/21/2019,,,40.744644,-73.77041,"(40.744644, -73.77041)",LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Box Truck
6/21/2019,QUEENS,11355,40.744553,-73.8138,"(40.744553, -73.8138)",KISSENA BOULEVARD               ,56 AVENUE,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Sedan
6/21/2019,QUEENS,11375,40.72845,-73.84926,"(40.72845, -73.84926)",YELLOWSTONE BOULEVARD           ,67 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
6/21/2019,MANHATTAN,10019,,,,12 AVENUE                       ,WEST 50 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Sedan
6/21/2019,BROOKLYN,11210,40.628456,-73.94823,"(40.628456, -73.94823)",,,914       EAST 29 STREET                ,0,0,0,0,0,0,0,0,Unspecified,Motorcycle
6/21/2019,BROOKLYN,11225,40.663483,-73.9627,"(40.663483, -73.9627)",,,450       FLATBUSH AVENUE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
6/21/2019,MANHATTAN,10001,,,,WEST 29 STREET                  ,12 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
6/21/2019,QUEENS,11417,40.67472,-73.85839,"(40.67472, -73.85839)",SUTTER AVENUE                   ,78 STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,Station Wagon/Sport Utility Vehicle
6/21/2019,,,40.666233,-73.761,"(40.666233, -73.761)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
6/21/2019,,,40.81977,-73.93673,"(40.81977, -73.93673)",WEST 144 STREET                 ,,,0,0,0,0,0,0,0,0,Unspecified,Sedan
6/21/2019,BROOKLYN,11206,40.692753,-73.94289,"(40.692753, -73.94289)",,,313       THROOP AVENUE                 ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
6/21/2019,,,40.840496,-73.94599,"(40.840496, -73.94599)",HENRY HUDSON PARKWAY            ,,,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
6/21/2019,,,40.67766,-73.80313,"(40.67766, -73.80313)",VAN WYCK EXPWY                  ,,,2,0,0,0,0,0,2,0,Following Too Closely,Sedan
6/21/2019,,,40.6796,-73.80349,"(40.6796, -73.80349)",116 AVENUE                      ,VANWYCK EXPRESSWAY,,0,0,0,0,0,0,0,0,Unspecified,Sedan
6/21/2019,,,40.81728,-73.938545,"(40.81728, -73.938545)",LENOX AVENUE                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi
6/21/2019,BROOKLYN,11217,40.68228,-73.98524,"(40.68228, -73.98524)",NEVINS STREET                   ,BALTIC STREET,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Sedan
6/21/2019,BROOKLYN,11236,40.636463,-73.9118,"(40.636463, -73.9118)",FLATLANDS AVENUE                ,EAST 82 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Pick-up Truck
6/21/2019,MANHATTAN,10036,40.75889,-73.98579,"(40.75889, -73.98579)",,,205       WEST 46 STREET                ,0,0,0,0,0,0,0,0,Passing Too Closely,Sedan
6/21/2019,,,,,,MANHATTAN BR UPPER              ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
6/21/2019,BROOKLYN,11212,40.662743,-73.921936,"(40.662743, -73.921936)",ROCKAWAY PARKWAY                ,WINTHROP STREET,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Sedan
6/21/2019,QUEENS,11368,40.754955,-73.85384,"(40.754955, -73.85384)",114 STREET                      ,37 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Sedan
6/21/2019,,,,,,GOWANUS RAMP                    ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Dump
6/21/2019,,,40.81801,-73.96149,"(40.81801, -73.96149)",HENRY HUDSON PARKWAY            ,,,0,0,0,0,0,0,0,0,Unspecified,Sedan
6/21/2019,,,40.722095,-73.77772,"(40.722095, -73.77772)",GRAND CENTRAL PKWY              ,,,1,0,0,0,0,0,1,0,Unspecified,Station Wagon/Sport Utility Vehicle
6/21/2019,,,40.688614,-73.999435,"(40.688614, -73.999435)",HICKS STREET                    ,WARREN STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Sedan
6/21/2019,MANHATTAN,10032,40.836422,-73.94082,"(40.836422, -73.94082)",,,524       WEST 162 STREET               ,0,0,0,0,0,0,0,0,Other Vehicular,Station Wagon/Sport Utility Vehicle
6/21/2019,MANHATTAN,10128,40.781204,-73.94784,"(40.781204, -73.94784)",,,346       EAST 92 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Taxi
6/21/2019,MANHATTAN,10281,40.71498,-74.0167,"(40.71498, -74.0167)",,,250       VESEY STREET                  ,0,0,0,0,0,0,0,0,Unspecified,Sedan
6/21/2019,BRONX,10457,40.85651,-73.897316,"(40.85651, -73.897316)",TIEBOUT AVENUE                  ,EAST 183 STREET,,0,0,0,0,0,0,0,0,Unspecified,Box Truck
6/21/2019,QUEENS,11434,40.659325,-73.77074,"(40.659325, -73.77074)",148 AVENUE                      ,175 STREET,,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
6/21/2019,BRONX,10467,40.882057,-73.87014,"(40.882057, -73.87014)",,,3556      WEBSTER AVENUE                ,0,0,0,0,0,0,0,0,Driver Inexperience,Sedan
6/21/2019,,,,,,160 STREET                      ,CROSS ISLAND PARKWAY,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Sedan
6/21/2019,MANHATTAN,10010,40.740185,-73.986374,"(40.740185, -73.986374)",EAST 23 STREET                  ,PARK AVENUE SOUTH,,0,0,0,0,0,0,0,0,Following Too Closely,Station Wagon/Sport Utility Vehicle
6/21/2019,MANHATTAN,10065,40.761494,-73.963715,"(40.761494, -73.963715)",,,1149      2 AVENUE                      ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Pick-up Truck
6/21/2019,BROOKLYN,11222,40.719616,-73.94065,"(40.719616, -73.94065)",,,96        KINGSLAND AVENUE              ,1,0,0,0,0,0,1,0,Turning Improperly,Station Wagon/Sport Utility Vehicle
6/21/2019,,,,,,164 STREET                      ,HORACE HARDING EXPRESSWAY,,0,0,0,0,0,0,0,0,Passing Too Closely,Sedan
6/21/2019,,,40.696663,-73.98085,"(40.696663, -73.98085)",BROOKLYN QUEENS EXPRESSWAY      ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle
6/21/2019,,,40.77904,-73.9435,"(40.77904, -73.9435)",FDR DRIVE                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
6/21/2019,BROOKLYN,11205,40.68953,-73.9705,"(40.68953, -73.9705)",,,223       DE KALB AVENUE                ,0,0,0,0,0,0,0,0,Unspecified,Sedan
6/21/2019,QUEENS,11385,40.712902,-73.90608,"(40.712902, -73.90608)",METROPOLITAN AVENUE             ,FOREST AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
6/21/2019,,,40.737785,-73.93496,"(40.737785, -73.93496)",VANDAM STREET                   ,BORDEN AVENUE,,3,0,0,0,0,0,3,0,Outside Car Distraction,Station Wagon/Sport Utility Vehicle
6/21/2019,BRONX,10454,40.804695,-73.92239,"(40.804695, -73.92239)",BRUCKNER BOULEVARD              ,BROWN PLACE,,0,0,0,0,0,0,0,0,Unspecified,Sedan
6/21/2019,QUEENS,11373,40.748524,-73.8699,"(40.748524, -73.8699)",,,95-39     40 ROAD                       ,0,0,0,0,0,0,0,0,Unspecified,Sedan
6/21/2019,,,40.7549,-73.74548,"(40.7549, -73.74548)",CROSS ISLAND PARKWAY            ,,,0,0,0,0,0,0,0,0,Following Too Closely,Station Wagon/Sport Utility Vehicle
6/21/2019,BRONX,10453,40.84942,-73.91113,"(40.84942, -73.91113)",MOUNT HOPE PLACE                ,JEROME AVENUE,,6,0,0,0,0,0,6,0,Brakes Defective,Station Wagon/Sport Utility Vehicle
6/21/2019,BROOKLYN,11226,40.65249,-73.95267,"(40.65249, -73.95267)",LINDEN BOULEVARD                ,ROGERS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Sedan
6/21/2019,QUEENS,11355,40.741943,-73.818855,"(40.741943, -73.818855)",150 STREET                      ,59 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Sedan
6/21/2019,QUEENS,11365,40.730366,-73.809006,"(40.730366, -73.809006)",71 AVENUE                       ,PARK AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Sedan
6/21/2019,STATEN ISLAND,10305,,,,SCHOOL ROAD                     ,LILY POND AVE,,1,0,0,0,0,0,1,0,Unsafe Speed,Sedan
6/21/2019,,,40.73579,-73.98537,"(40.73579, -73.98537)",EAST 18 STREET                  ,,,1,0,0,0,0,0,1,0,Driverless/Runaway Vehicle,Sedan
6/21/2019,,,40.637745,-74.07603,"(40.637745, -74.07603)",VICTORY BOULEVARD               ,BAY STREET,,1,0,0,0,0,0,1,0,Backing Unsafely,Station Wagon/Sport Utility Vehicle
6/21/2019,,,40.760944,-73.9163,"(40.760944, -73.9163)",31 AVENUE                       ,,,3,0,0,0,0,0,3,0,Lost Consciousness,Station Wagon/Sport Utility Vehicle
6/21/2019,BROOKLYN,11201,40.696033,-73.98453,"(40.696033, -73.98453)",FLATBUSH AVENUE EXTENSION       ,TILLARY STREET,,0,0,0,0,0,0,0,0,Oversized Vehicle,Sedan
6/21/2019,QUEENS,11385,40.70091,-73.89322,"(40.70091, -73.89322)",,,62-15     MYRTLE AVENUE                 ,0,0,0,0,0,0,0,0,Passing Too Closely,Station Wagon/Sport Utility Vehicle
6/21/2019,BROOKLYN,11236,40.63868,-73.91682,"(40.63868, -73.91682)",FARRAGUT ROAD                   ,EAST 80 STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Sedan
6/21/2019,QUEENS,11358,40.757874,-73.788506,"(40.757874, -73.788506)",NORTHERN BOULEVARD              ,193 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Sedan
6/21/2019,,,40.86032,-73.90944,"(40.86032, -73.90944)",LORING PLACE NORTH              ,WEST 183 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Station Wagon/Sport Utility Vehicle
6/21/2019,,,40.78214,-73.824844,"(40.78214, -73.824844)",WHITESTONE EXPRESSWAY           ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Flat Bed
6/21/2019,,,40.71552,-74.00925,"(40.71552, -74.00925)",CHAMBERS STREET                 ,,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
6/21/2019,,,40.764706,-73.811005,"(40.764706, -73.811005)",NORTHERN BOULEVARD              ,,,2,0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
6/21/2019,,,,,,BROOKLYN QUEENS EXPRESSWAY      ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Sedan
6/21/2019,,,40.766045,-73.983376,"(40.766045, -73.983376)",8 AVENUE                        ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Box Truck
6/21/2019,BROOKLYN,11222,40.720314,-73.9443,"(40.720314, -73.9443)",,,497       MEEKER AVENUE                 ,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
6/21/2019,BRONX,10462,40.847565,-73.857475,"(40.847565, -73.857475)",,,959       MORRIS PARK AVENUE            ,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
6/21/2019,BROOKLYN,11209,40.62226,-74.02749,"(40.62226, -74.02749)",,,436       86 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,Sedan
6/21/2019,BROOKLYN,11249,40.72099,-73.959854,"(40.72099, -73.959854)",,,64        NORTH 9 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
6/21/2019,QUEENS,11040,40.752316,-73.701996,"(40.752316, -73.701996)",,,271-11    UNION TURNPIKE                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
6/21/2019,QUEENS,11362,40.767864,-73.73818,"(40.767864, -73.73818)",NORTHERN BOULEVARD              ,249 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Sedan
6/21/2019,,,40.59678,-73.975044,"(40.59678, -73.975044)",VAN SICKLEN STREET              ,,,0,0,0,0,0,0,0,0,Unspecified,Sedan
6/21/2019,,,40.62043,-74.07096,"(40.62043, -74.07096)",BAY STREET                      ,,,1,0,0,0,0,0,1,0,Driver Inexperience,Sedan
6/21/2019,MANHATTAN,10001,40.75326,-74.00383,"(40.75326, -74.00383)",WEST 30 STREET                  ,11 AVENUE,,0,0,0,0,0,0,0,0,View Obstructed/Limited,Station Wagon/Sport Utility Vehicle
6/21/2019,MANHATTAN,10019,40.760765,-73.97664,"(40.760765, -73.97664)",,,15        WEST 53 STREET                ,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Taxi
6/21/2019,BROOKLYN,11212,40.65622,-73.913155,"(40.65622, -73.913155)",EAST 98 STREET                  ,STRAUSS STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
6/21/2019,QUEENS,11435,40.710102,-73.81252,"(40.710102, -73.81252)",,,85-05     144 STREET                    ,0,0,0,0,0,0,0,0,Backing Unsafely,Station Wagon/Sport Utility Vehicle
6/21/2019,,,40.87626,-73.90395,"(40.87626, -73.90395)",BAILEY AVENUE                   ,,,0,0,0,0,0,0,0,0,Unspecified,Sedan
6/21/2019,,,40.708324,-73.84314,"(40.708324, -73.84314)",JACKIE ROBINSON PKWY            ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
6/21/2019,,,,,,QUEENS MIDTOWN TUNNEL           ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Sedan
6/21/2019,MANHATTAN,10036,40.75866,-73.98875,"(40.75866, -73.98875)",,,700       8 AVENUE                      ,0,0,0,0,0,0,0,0,Passing Too Closely,Sedan
6/21/2019,,,40.80417,-73.966705,"(40.80417, -73.966705)",BROADWAY                        ,,,0,0,0,0,0,0,0,0,Following Too Closely,Taxi
6/21/2019,,,40.679737,-73.76162,"(40.679737, -73.76162)",MERRICK BOULEVARD               ,FARMERS BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
6/21/2019,QUEENS,11101,40.748924,-73.937386,"(40.748924, -73.937386)",QUEENS BOULEVARD                ,JACKSON AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
6/21/2019,MANHATTAN,10011,40.73972,-73.99512,"(40.73972, -73.99512)",,,610       AVENUE OF THE AMERICAS        ,1,0,0,0,0,0,1,0,Oversized Vehicle,Box Truck
6/21/2019,BRONX,10451,40.817387,-73.92277,"(40.817387, -73.92277)",EAST 149 STREET                 ,MORRIS AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
